Title,Price,InStock,Description,Link,Processor,Memory,Storage,Graphics
"Redragon H270 RGB Gaming Headset with Microphone Wired Compatible with Xbox One  Nintendo Switch  PS4  PS5  PC and Laptops  White ","1099 LE"," In Stock  "," Redragon H270 RGB Gaming Headset Key Specs:  Multi-Platform Compatibility: Works with Xbox One, PS4, PS5, Nintendo Switch (audio only), Mac, PC, and laptops. RGB Backlit: Dynamic lighting on both ear cups. Built-in Volume Control: Easy audio adjustments. Omnidirectional Rotatable Microphone: Adjustable mic with on/off indicator   ","https://www.sigma-computer.com/item?id=7664&name=Redragon_H270_RGB_Gaming_Headset_with_Microphone_Wired_Compatible_with_Xbox_One__Nintendo_Switch__PS4__PS5__PC_and_Laptops__White_","N/A","N/A","N/A","N/A"
"Redragon M814 Wireless Gaming Mouse  Tri-Mode 2.4G USB-C Bluetooth Ergonomic Mouse Gaming  8000 DPI  RGB Backlit  Fully Programmable  Rechargeable Wireless Computer Mouse for Laptop PC Mac","1399 LE"," In Stock  ","  3 Modes: Wired, 2.4GHz Wireless, Bluetooth 8000 DPI Sensor: Adjustable gaming-grade precision 8 Programmable Buttons: With on-board memory RGB Backlight: Ergonomic and stylish design         ","https://www.sigma-computer.com/item?id=7663&name=Redragon_M814_Wireless_Gaming_Mouse__Tri-Mode_2.4G_USB-C_Bluetooth_Ergonomic_Mouse_Gaming__8000_DPI__RGB_Backlit__Fully_Programmable__Rechargeable_Wireless_Computer_Mouse_for_Laptop_PC_Mac","N/A","N/A","N/A","N/A"
"Laptop Dell Vostro 3520 - Intel Core i5 1235U - Intel UHD Graphics - 8GB DDR4 2666MHz -256GB NVMe SSD - 15.6 inch FHD 120Hz","19199 LE","N/A"," ضمــــــان سنــــــة Processor   12th Generation Intel(R) Core( TM) i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)  Graphics  Intel(R) UHD Graphics  Memory   8GB, 1x8GB, DDR4, 2666MHz  Storage   256GB M.2 PCIe NVMe Solid Stat e Drive  Display  15.6 inch FHD (1920 x 1080) 120Hz 250 nits WVA Anti- Glare L ED Backlit Narrow Border Display              ","https://www.sigma-computer.com/item?id=7652&name=Laptop_Dell_Vostro_3520_-_Intel_Core_i5_1235U_-_Intel_UHD_Graphics_-_8GB_DDR4_2666MHz_-256GB_NVMe_SSD_-_15.6_inch_FHD_120Hz","Intel_Core_i5_1235U","Intel_UHD_Graphics","8GB_DDR4_2666MHz_-256GB_NVMe_SSD","15.6_inch_FHD_120Hz"
"HP Victus16-r1062ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","43999 LE"," In Stock  "," ضمــــــــان سنـــــــــة HP Victus 16-r1062ne laptop:  Processor: Intel Core i5-14450HX    	 Cores/Threads: 10 cores (6 performance cores + 4 efficient cores), 16 threads Cache: 24MB   Graphics Card: NVIDIA GeForce RTX 3050 with 6GB GDDR6 VRAM RAM: 16GB DDR5 (2 x 8GB modules) with a blazing-fast 5600 MHz speed Storage: 1TB SSD Gen4 (ultra-fast NVMe storage for quick boot and load times) Display: 16.1-inch FHD IPS display with a 144Hz refresh rate (provides smooth and vibrant visuals, perfect for gaming and content creation)         ","https://www.sigma-computer.com/item?id=7642&name=HP_Victus16-r1062ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz","N/A","N/A","N/A","N/A"
"HP Victus16-r1066ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","43499 LE"," In Stock  "," ضمــــــــان سنـــــــــــة HP Victus 16-r1066ne gaming laptop specifications updated:  Processor: Intel Core i5-14450HX    	 Cores/Threads: 10 cores (6 performance + 4 efficiency) / 16 threads Designed for high-performance gaming and multitasking   Graphics Card: NVIDIA GeForce RTX 3050 with 6GB of VRAM  	 Excellent for gaming, rendering, and other GPU-intensive tasks   RAM: 16GB DDR5 (2 x 8GB modules) at 5600MHz  	 Dual-channel configuration for optimized memory performance   Storage: 1TB SSD Gen4  	 Ultra-fast read/write speeds for quicker load times and system responsiveness   Display: 16.1-inch Full HD (1920x1080) IPS panel with a 144Hz refresh rate  	 Smooth, crisp visuals perfect for gaming and multimedia           ","https://www.sigma-computer.com/item?id=7641&name=HP_Victus16-r1066ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz","N/A","N/A","N/A","N/A"
"MSI Modern 15 F13MG Laptop - Intel Core i5-1335U - 8GB DDR4 3200MHz - 512GB SSD - Intel Iris Xe Graphics - 15.6 FHD  1920x1080  IPS-Level","21749 LE"," In Stock  "," ضمــــــان سنــــة   Model: MSI Modern 15 F13MG Processor: Intel Core i5-1335U (13th Gen, up to 4.60 GHz) ( 10 cores & 12 threads ) RAM: 8GB DDR4 Storage: 512GB NVMe SSD Graphics: Intel Iris Xe Graphics Display: 15.6  FHD (1920x1080) IPS-Level Connectivity: Wi-Fi 6E, Bluetooth v5.3 Ports: USB-A, USB-C, HDMI, RJ45, Micro SD OS: Free DOS Warranty: 1 Year         ","https://www.sigma-computer.com/item?id=7624&name=MSI_Modern_15_F13MG_Laptop_-_Intel_Core_i5-1335U_-_8GB_DDR4_3200MHz_-_512GB_SSD_-_Intel_Iris_Xe_Graphics_-_15.6_FHD__1920x1080__IPS-Level","Intel_Core_i5-1335U","8GB_DDR4_3200MHz","512GB_SSD","Intel_Iris_Xe_Graphics"
"Lenovo LOQ 15IRX9 83DV0071PS Laptop  Intel Core i7-13650HX  512GB SSD  16GB RAM  15.6 Inches  FHD IPS 144Hz Display  NVIDIA GeForce RTX 4050 GDDR6 6GB  FreeDos","46499 LE","N/A"," ضمــــــان سنــــــة Lenovo LOQ 15IRX9 Key Specs  Processor: Intel® Core™ i7-13650HX (14C/20T, up to 4.9GHz) GPU: NVIDIA® GeForce RTX™ 4050 (6GB GDDR6, 105W TGP, G-SYNC®) Display: 15.6  FHD IPS, 144Hz, 100% sRGB Memory: 16GB DDR5-4800 (upgradable to 32GB) Storage: 512GB PCIe® 4.0 SSD (supports up to 2TB) Battery: 60Wh Weight: 2.38 kg Connectivity: Wi-Fi 6, Bluetooth 5.2, HDMI® 2.1, USB-C® (140W PD) Durability: MIL-STD-810H certified   ","https://www.sigma-computer.com/item?id=7600&name=Lenovo_LOQ_15IRX9_83DV0071PS_Laptop__Intel_Core_i7-13650HX__512GB_SSD__16GB_RAM__15.6_Inches__FHD_IPS_144Hz_Display__NVIDIA_GeForce_RTX_4050_GDDR6_6GB__FreeDos","N/A","N/A","N/A","N/A"
"MSI-I9-Vector16 HX A14VHG-801EG Inte Core i9-14900HX- RTX4080 GDDR6 12GB - 32GB DDR5- 1TBNVMe PCIe Gen4x4- 16 QHD 240Hz- Win11Home","133999 LE"," In Stock  "," ضمـــــــان سنتـــــين وكــــــيل MSI Vector 16 HX A14VHG-801EG A high-performance laptop designed for gamers and professionals. Key Features:  Processor: Intel Core i9-14900HX (14 cores, 24 threads) Graphics Card: NVIDIA GeForce RTX 4080 (12GB GDDR6) RAM: 32GB DDR5 (expandable) Storage: 1TB NVMe PCIe Gen4x4 SSD Display: 16-inch QHD+ (2560x1600), 240Hz refresh rate, vibrant visuals Operating System: Windows 11 Home  Other Highlights:  Cooling System: Advanced cooling for sustained performance Connectivity: Latest Wi-Fi 6E and multiple ports for flexibility Design: Sleek and durable, ideal for mobility         ","https://www.sigma-computer.com/item?id=7583&name=MSI-I9-Vector16_HX_A14VHG-801EG_Inte_Core_i9-14900HX-_RTX4080_GDDR6_12GB_-_32GB_DDR5-_1TBNVMe_PCIe_Gen4x4-_16_QHD_240Hz-_Win11Home","N/A","N/A","N/A","N/A"
"MSI RAIDER 18 HX A14VIG 9S7-182232-471 Gaming Laptop Intel Core i9 14900HX 32GB RAM 2TB SSD 18 Inch QHD 240Hz 16GB NVIDIA RTX 4090 Win 11","176499 LE","N/A"," ضمـــــــان سنتـــــين وكــــــيل       MSI RAIDER 18 HX A14V Specifications:  Processor: Latest Intel® Core™ i9-14900HX (14th Gen, powerhouse performance). Graphics: Up to NVIDIA® GeForce RTX™ 4090 Laptop GPU (16GB GDDR6, NVIDIA DLSS 3, Ada Lovelace, Max-Q). Display: 18  UHD+ MiniLED (3840x2400), 16:10, 240Hz, 100% DCI-P3, VESA DisplayHDR™ 1000 Certified – stunning visuals with IPS-level panel. Operating System: Windows 11 Home / Pro (recommended Pro for business). Cooling: Cooler Boost 5 (dual fans, 6 heat pipes, 3D cooling stands). Battery: 99.9Whr for extended productivity. Sound: Premium 6-speaker system by Dynaudio for immersive audio. Webcam: IR FHD with shutter, HDR, and 3D Noise Reduction. Aesthetics: Mystic Light with Matrix Lightbar for next-level customization.         ","https://www.sigma-computer.com/item?id=7582&name=MSI_RAIDER_18_HX_A14VIG_9S7-182232-471_Gaming_Laptop_Intel_Core_i9_14900HX_32GB_RAM_2TB_SSD_18_Inch_QHD_240Hz_16GB_NVIDIA_RTX_4090_Win_11","N/A","N/A","N/A","N/A"
"Samsung M80D LS32DM801UUXEN Smart Monitor  32 Inch  4K AI Upscaling  UHD  60 Hz  360 Audio Mode  Includes Webcam  Screen with Speakers and Height Adjustment  Smart TV Apps with Remote Control","20999 LE"," In Stock  "," ضمــــــان ثلاث سنــــوات Samsung M80D Smart Monitor 32-Inch (LS32DM801UUXEN) Specifications:     Key Features:          Height-adjustable Smart AI monitor with built-in speakers and pivot function.          UHD resolution with 4K AI upscaling for fluid, razor-sharp images at 60 Hz refresh rate.     Smart Capabilities:          Easy wireless access to PC files and IoT device control via Smart Hub.          Access a variety of streaming services with directly selectable smart TV apps.     Connectivity:          Compatible with Xbox, PlayStation, PC, and laptops.          Ports: 1x HDMI, 1x USB-C, 1x USB-A.          Connectivity: WLAN, Bluetooth.          Includes a SolarCell remote control and webcam.     Advanced Display Features:          HDR10+ support for deeper blacks and enhanced brightness to reveal all details.          Eye Saver Mode to reduce blue light emissions.          Flicker-Free Technology to eliminate screen flickering.  Warranty 3-Year  ","https://www.sigma-computer.com/item?id=7529&name=Samsung_M80D_LS32DM801UUXEN_Smart_Monitor__32_Inch__4K_AI_Upscaling__UHD__60_Hz__360_Audio_Mode__Includes_Webcam__Screen_with_Speakers_and_Height_Adjustment__Smart_TV_Apps_with_Remote_Control","N/A","N/A","N/A","N/A"
