Title,Price,InStock,Description,Link,Processor,Memory,Storage,Graphics
"ASUS Vivobook S 15 OLED K5504VA-MA007W  2023   Intel Core I7-13700H 13th Gen  15.6","38999 LE","N/A","  ASUS Vivobook S 15 OLED Wherever possibility takes you.   Unleash the possibilities with Vivobook S 15 OLED, the outstanding laptop for school, work or entertainment. With the awesome power of its 13th Gen Intel® Core™ i7 H-series processor and a high-capacity 512GB  SSD, any task is easy — work or play, anywhere, anytime. And everything will look its best on the world-leading 15.6-inch 2.8K 120 Hz1 OLED display! The super-stylish new design with its brilliant colors shouts your personality to the world. Explore further and faster with Vivobook S 15 OLED!         ","https://www.sigma-computer.com/item?id=6723&name=ASUS_Vivobook_S_15_OLED_K5504VA-MA007W__2023___Intel_Core_I7-13700H_13th_Gen__15.6","N/A","N/A","N/A","N/A"
"ASUS Zenbook 14 OLED UX3405MA-PP009WS Laptop 14-inch OLED 3K Intel Core Ultra 9 185H 16GB RAM 1TB SSD Intel Arc Graphics Win11 Blue","70777 LE"," In Stock  "," ضمــــــــان سنـــــة ASUS Zenbook 14 OLED UX3405MA - Key Specs        Processor: Intel® Core™ Ultra 9 185H (16 cores, 22 threads, up to 5.1 GHz) Graphics: Intel® Arc™ Graphics Display: 14-inch OLED, 3K (2880 x 1800), 120 Hz, 100% DCI-P3, HDR True Black 600 Memory: 16GB LPDDR5X Storage: 1TB PCIe 4.0 SSD Ports: 2x Thunderbolt™ 4, 1x USB 3.2 Type-A, 1x HDMI 2.1 Weight: 1.28 kg (2.82 lbs) Battery: 75WHrs, 4-cell Li-ion OS: Windows 11 Home               ","https://www.sigma-computer.com/item?id=6722&name=ASUS_Zenbook_14_OLED_UX3405MA-PP009WS_Laptop_14-inch_OLED_3K_Intel_Core_Ultra_9_185H_16GB_RAM_1TB_SSD_Intel_Arc_Graphics_Win11_Blue","N/A","N/A","N/A","N/A"
"SAMSUNG 990 PRO with Heatsink SSD 2TB  PCIe Gen4 M.2 2280 Internal Solid State Hard Drive  Seq. Read Speeds Up To 7 450MB s for High End Computing","9799 LE","N/A"," BLAZING SPEED. COOL VICTORY: Consider this a cheat code; Our Samsung 990 PRO Gen 4 with Heatsink SSD helps you reach near max performance* with lightning-fast speeds and Heatsink for improved temperature control REACH THE NEXT LEVEL: Gen4 steps up with faster transfer speeds and high-performance bandwidth; With a more than 55% improvement in random performance compared to 980 PRO, it’s here for heavy computing and faster loading THE FASTEST SSD FROM THE WORLD'S #1 FLASH MEMORY BRAND**: The speed you need for any occasion; With read and write speeds up to 7450/6900 MB/s* you’ll reach near max performance of PCIe 4.0*** powering through for any use PLAY WITHOUT LIMITS: Give yourself some space with storage capacities from 1TB to 4TB; Sync all your saves and reign supreme in gaming, video editing, data analysis and more MADE w/ PS5 IN MIND: Ultra-slim Integrated Heatsink is designed to dissipate heat from your device to stabilize its temperature and prevent performance issues; It’s compatible with PlayStation 5 and PCI-SIG D8 standard desktops and laptops  ","https://www.sigma-computer.com/item?id=6701&name=SAMSUNG_990_PRO_with_Heatsink_SSD_2TB__PCIe_Gen4_M.2_2280_Internal_Solid_State_Hard_Drive__Seq._Read_Speeds_Up_To_7_450MB_s_for_High_End_Computing","N/A","N/A","N/A","N/A"
"SAMSUNG 990 PRO w Heatsink SSD 4TB  PCIe Gen4 M.2 2280 Internal Solid State Hard Drive  Seq. Read Speeds Up to 7 450MB s for High End Computing  Workstations  Compatible w Playstation 5  MZ-V9P4T0CW","17999 LE"," In Stock  "," ضمــــــان سنـــة The Samsung 990 PRO Gen 4 SSD with a built-in heatsink is indeed a powerhouse for high-performance computing. Its blazing speeds of up to 7450 MB/s (read) and 6900 MB/s (write) make it a top choice for demanding tasks like gaming, video editing, and data analysis. The PCIe Gen 4.0 technology ensures that it takes full advantage of modern computing hardware, pushing near maximum throughput for seamless operation. The integrated heatsink is crucial in managing temperatures, preventing thermal throttling during extended sessions, making it ideal for continuous heavy use, such as during long gaming sessions or professional editing. Its 55% improved random performance over the 980 PRO highlights its ability to handle complex data handling, which is great for those needing fast loading times or quick access to large files. In terms of storage, with capacities ranging from 1TB to 4TB, it covers a wide spectrum of needs, from casual gamers to professional users working with large datasets. Additionally, its PS5 compatibility (PCI-SIG D8 standard) ensures it will perform well not only in desktops and laptops but also in PlayStation 5, providing a seamless experience for gamers. This SSD is designed for users looking for cutting-edge performance and reliability in their storage solutions.  ","https://www.sigma-computer.com/item?id=6700&name=SAMSUNG_990_PRO_w_Heatsink_SSD_4TB__PCIe_Gen4_M.2_2280_Internal_Solid_State_Hard_Drive__Seq._Read_Speeds_Up_to_7_450MB_s_for_High_End_Computing__Workstations__Compatible_w_Playstation_5__MZ-V9P4T0CW","N/A","N/A","N/A","N/A"
"Laptop Lenovo Legion Slim 7 16IRH8 82Y30060PS - Intel   Core    i7-13700H - NVIDIA   GeForce RTX 4060 8GB - 16GB DDR5-5200 - 1TB SSD M.2 - 16","73999 LE"," In Stock  "," ضمـــــــــان سنــــة Processor  Intel® Core™ i7-13700H, 14C (6P + 8E) / 20T, P-core 2.4 / 5.0GHz, E-core 1.8 / 3.7GHz, 24MB Graphics  NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W Memory  16GB Soldered DDR5-5200 Storage  1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Display  16  3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance Keyboard  White Backlit, English (UK)  ","https://www.sigma-computer.com/item?id=6695&name=Laptop_Lenovo_Legion_Slim_7_16IRH8_82Y30060PS_-_Intel___Core____i7-13700H_-_NVIDIA___GeForce_RTX_4060_8GB_-_16GB_DDR5-5200_-_1TB_SSD_M.2_-_16","Intel___Core____i7-13700H","NVIDIA___GeForce_RTX_4060_8GB","16GB_DDR5-5200","1TB_SSD_M.2"
"HP Laptop 15-fd0068ne - Intel   Core    i7-1355U - NVIDIA   GeForce   MX570 2GB - 8GB DDR4-3200MHz - 512GB PCIe   NVMe - 15.6","32499 LE"," In Stock  "," Processor Intel® Core™ i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)  Graphics NVIDIA® GeForce® MX570 2GB GDDR6 Memory 8GB DDR4-3200MHz RAM (1 x 8 GB) Storage 512 GB PCIe® NVMe™ M.2 SSD Display 39.6 cm (15.6 ) diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 62.5% sRGB Natural Silver  ","https://www.sigma-computer.com/item?id=6694&name=HP_Laptop_15-fd0068ne_-_Intel___Core____i7-1355U_-_NVIDIA___GeForce___MX570_2GB_-_8GB_DDR4-3200MHz_-_512GB_PCIe___NVMe_-_15.6","Intel___Core____i7-1355U","NVIDIA___GeForce___MX570_2GB","8GB_DDR4-3200MHz","512GB_PCIe___NVMe"
"HP Laptop 15-fd0022ne - Intel   Core    i7-1355U - Intel   Iris   X    Graphics - 8GB DDR4-3200 MHz - 512 GB PCIe   NVMe - 15.6  FHD IPS - Natural Silver.","30499 LE","N/A"," Processor Intel® Core™ i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)  Graphics Intel® Iris® Xᶱ Graphics Memory 8 GB DDR4-3200 MHz RAM (1 x 8 GB) Storage 512 GB PCIe® NVMe™ M.2 SSD Display 39.6 cm (15.6 ) diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC Natural Silver  ","https://www.sigma-computer.com/item?id=6693&name=HP_Laptop_15-fd0022ne_-_Intel___Core____i7-1355U_-_Intel___Iris___X____Graphics_-_8GB_DDR4-3200_MHz_-_512_GB_PCIe___NVMe_-_15.6__FHD_IPS_-_Natural_Silver.","Intel___Core____i7-1355U","Intel___Iris___X____Graphics","8GB_DDR4-3200_MHz","512_GB_PCIe___NVMe"
"HP Laptop 15-fd0052ne - Intel   Core    i5-1334U - NVIDIA   GeForce   MX570 2GB - 8GB DDR4-3200 MHz - 512 GB PCIe   NVMe    M.2 - 15.6  FHD  1920 x 1080  - Natural Silver. ","29999 LE"," In Stock  "," Processor Intel® Core™ i5-1334U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)  Graphics NVIDIA® GeForce® MX570 2GB GDDR6 Memory 8 GB DDR4-3200 MHz RAM (1 x 8 GB) Storage 512 GB PCIe® NVMe™ M.2 SSD Display 39.6 cm (15.6 ) diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 62.5% sRGB  Natural Silver  ","https://www.sigma-computer.com/item?id=6692&name=HP_Laptop_15-fd0052ne_-_Intel___Core____i5-1334U_-_NVIDIA___GeForce___MX570_2GB_-_8GB_DDR4-3200_MHz_-_512_GB_PCIe___NVMe____M.2_-_15.6__FHD__1920_x_1080__-_Natural_Silver._","Intel___Core____i5-1334U","NVIDIA___GeForce___MX570_2GB","8GB_DDR4-3200_MHz","512_GB_PCIe___NVMe____M.2"
"HP Laptop 15-fd0054ne - Intel   Core    i5-1334U - Intel   Iris   X    Graphics - 8GB DDR4-3200 MHz - 512GB PCIe   NVMe - 15.6","24999 LE"," In Stock  "," Processor Intel® Core™ i5-1334U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Graphics Intel® Iris® Xᶱ Graphics Memory 8 GB DDR4-3200 MHz RAM (1 x 8 GB) Storage 512 GB PCIe® NVMe™ M.2 SSD Display 39.6 cm (15.6 ) diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 62.5% sRGB Natural silver        ","https://www.sigma-computer.com/item?id=6691&name=HP_Laptop_15-fd0054ne_-_Intel___Core____i5-1334U_-_Intel___Iris___X____Graphics_-_8GB_DDR4-3200_MHz_-_512GB_PCIe___NVMe_-_15.6","Intel___Core____i5-1334U","Intel___Iris___X____Graphics","8GB_DDR4-3200_MHz","512GB_PCIe___NVMe"
"HP Laptop 15-fd0032ne - Intel   Core    i3-1315U - Intel   UHD Graphics - 4GB DDR4-3200 - 256GB PCIe   NVMe - 15.6 FHD IPS - Warm Gold. ","17999 LE"," In Stock  "," Processor Intel® Core™ i3-1315U (up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) Graphics Intel® UHD Graphics Memory 4 GB DDR4-3200 MHz RAM (1 x 4 GB) Storage 256 GB PCIe® NVMe™ M.2 SSD Display 39.6 cm (15.6 ) diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC  Weight 1.59 kg   ","https://www.sigma-computer.com/item?id=6690&name=HP_Laptop_15-fd0032ne_-_Intel___Core____i3-1315U_-_Intel___UHD_Graphics_-_4GB_DDR4-3200_-_256GB_PCIe___NVMe_-_15.6_FHD_IPS_-_Warm_Gold._","Intel___Core____i3-1315U","Intel___UHD_Graphics","4GB_DDR4-3200","256GB_PCIe___NVMe"
"HP Laptop 15-fd0033ne - Intel   Core    i3-1315U - Intel   UHD Graphics - 4GB DDR4-3200 - 256GB PCIe   NVMe - 15.6  FHD IPS - Natural silver.","17999 LE"," In Stock  "," Intel® Core™ i3-1315U (up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) Intel® UHD Graphics 4 GB DDR4-3200 MHz RAM (1 x 4 GB) 256 GB PCIe® NVMe™ M.2 SSD 15.6  diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC  ","https://www.sigma-computer.com/item?id=6688&name=HP_Laptop_15-fd0033ne_-_Intel___Core____i3-1315U_-_Intel___UHD_Graphics_-_4GB_DDR4-3200_-_256GB_PCIe___NVMe_-_15.6__FHD_IPS_-_Natural_silver.","Intel___Core____i3-1315U","Intel___UHD_Graphics","4GB_DDR4-3200","256GB_PCIe___NVMe"
"Laptop Lenovo LOQ 15IAX9 83GS008QED - Intel   Core    i5-12450HX - NVIDIA GeForce RTX 2050 4GB - 8GB SO-DIMM DDR5-4800 - 512GB SSD M.2 - 15.6 FHD IPS  300 nits  Anti-glare  100  sRGB  144Hz","29999 LE"," In Stock  "," ضمـــان وكيـل سنتيـن  Processor: Intel® Core™ i5-12450HX, 8 cores (4 Performance-cores + 4 Efficient-cores), 12 threads, Performance-core up to 4.4 GHz, Efficient-core up to 3.1 GHz, 12 MB cache Graphics: NVIDIA® GeForce RTX™ 2050 4GB GDDR6, Boost Clock 1575 MHz, TGP 65W Memory: 1x 8GB SO-DIMM DDR5-4800 Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display: 15.6  FHD (1920x1080) IPS, 300 nits, Anti-glare, 100% sRGB, 144Hz, G-SYNC® Keyboard: White Backlit, Arabic Bundled Accessories: Lenovo® LOQ M100 RGB Mouse   ","https://www.sigma-computer.com/item?id=6683&name=Laptop_Lenovo_LOQ_15IAX9_83GS008QED_-_Intel___Core____i5-12450HX_-_NVIDIA_GeForce_RTX_2050_4GB_-_8GB_SO-DIMM_DDR5-4800_-_512GB_SSD_M.2_-_15.6_FHD_IPS__300_nits__Anti-glare__100__sRGB__144Hz","Intel___Core____i5-12450HX","NVIDIA_GeForce_RTX_2050_4GB","8GB_SO-DIMM_DDR5-4800","512GB_SSD_M.2"
"Laptop Lenovo LOQ 15IRH8 82XV00SNED - Intel   Core    i5-12450H - NVIDIA   GeForce RTX    2050 4GB - 8GB SO-DIMM DDR5-4800 - 512GB SSD M.2 - 15.6- 2Y WARRANTY","29499 LE"," In Stock  "," Processor  Intel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB Graphics  NVIDIA® GeForce RTX™ 2050 4GB GDDR6, Boost Clock 1575MHz, TGP 70W Memory  1x 8GB SO-DIMM DDR5-4800 Storage  512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display  15.6  FHD (1920x1080) IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC® Bundled Accessories  Lenovo® LOQ M100 RGB Mouse          ","https://www.sigma-computer.com/item?id=6682&name=Laptop_Lenovo_LOQ_15IRH8_82XV00SNED_-_Intel___Core____i5-12450H_-_NVIDIA___GeForce_RTX____2050_4GB_-_8GB_SO-DIMM_DDR5-4800_-_512GB_SSD_M.2_-_15.6-_2Y_WARRANTY","Intel___Core____i5-12450H","NVIDIA___GeForce_RTX____2050_4GB","8GB_SO-DIMM_DDR5-4800","512GB_SSD_M.2"
"HP BH461 Laptop Sleeve - 14-inch","349 LE"," In Stock  "," DESCRIPTION  Provides a sleek and professional look  Designed by HP for a precise fit and compatibility  Simple yet effective solution for on-the-go laptop protection  Perfect for individuals who prefer a minimalist and portable laptop carrying option.    ","https://www.sigma-computer.com/item?id=6666&name=HP_BH461_Laptop_Sleeve_-_14-inch","N/A","N/A","N/A","N/A"
"Laptop Lenovo LOQ 15IRX9 83DV00GDAX - Intel   Core    i7-13650HX - NVIDIA   GeForce RTX    3050 6GB - 16GB SO-DIMM DDR5-4800 - 512GB SSD M.2 - 15.6","44499 LE","N/A"," Processor  Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB Graphics  NVIDIA® GeForce RTX™ 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W Memory  1x 16GB SO-DIMM DDR5-4800 Storage  512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display  15.6  FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC® Keyboard  White Backlit, Arabic Bundled Accessories  Lenovo® LOQ M100 RGB Mouse        ","https://www.sigma-computer.com/item?id=6655&name=Laptop_Lenovo_LOQ_15IRX9_83DV00GDAX_-_Intel___Core____i7-13650HX_-_NVIDIA___GeForce_RTX____3050_6GB_-_16GB_SO-DIMM_DDR5-4800_-_512GB_SSD_M.2_-_15.6","Intel___Core____i7-13650HX","NVIDIA___GeForce_RTX____3050_6GB","16GB_SO-DIMM_DDR5-4800","512GB_SSD_M.2"
"DELL G15 5530 Gaming Laptop Intel Core i7-13650HX - NVIDIA GeForce RTX 4060 8GB GDDR6 - 16GB DDR5 5600mhz - 1TGB SSD  15.6","66999 LE"," In Stock  "," ضمــــــان سنــــــة  Processor: Intel Core i7-13650HX (14 Cores) Graphics: NVIDIA GeForce RTX 4060, 8GB GDDR6 Memory: 16GB DDR5 (2x8GB, 5600MHz) Storage: 1TB M.2 PCIe NVMe SSD Display: 15.6  FHD, 360Hz refresh rate OS: Windows 11   ","https://www.sigma-computer.com/item?id=6654&name=DELL_G15_5530_Gaming_Laptop_Intel_Core_i7-13650HX_-_NVIDIA_GeForce_RTX_4060_8GB_GDDR6_-_16GB_DDR5_5600mhz_-_1TGB_SSD__15.6","N/A","N/A","N/A","N/A"
"Dell Latitude 3420 Laptop - Intel   Core    i5-1135G7 - 8GB - 256GB SSD - Intel Iris Graphics - 14","24999 LE"," In Stock  "," ضمــــــان سنــــــة Processor: 11th Gen Intel® Core™ i5-1135G7 (8 MB cache, 4 cores, 8 threads, 2.40 GHz to 4.20 GHz Turbo)  RAM: 8GB  Hard Disk: 256GB SSD  Graphics Card: Intel Iris Graphics  ","https://www.sigma-computer.com/item?id=6651&name=Dell_Latitude_3420_Laptop_-_Intel___Core____i5-1135G7_-_8GB_-_256GB_SSD_-_Intel_Iris_Graphics_-_14","Intel___Core____i5-1135G7","8GB","256GB_SSD","Intel_Iris_Graphics"
"HP 15s-eq1001ne Laptop - AMD Ryzen 3-3250U - 4 GB - 256 GB SSD - AMD Radeon Integrated Graphics -15.6  HD - Win11- Black","15599 LE"," In Stock  "," Processor: AMD Ryzen™ 3 3250U Processor 2.6GHz Base Frequency ( 2 cores, 4 threads, Up to 3.5GHz, 4MB cache)  RAM: 4GB  Hard Disk: 256GB SSD  Graphics Card: AMD Radeon Integrated Graphics    ","https://www.sigma-computer.com/item?id=6649&name=HP_15s-eq1001ne_Laptop_-_AMD_Ryzen_3-3250U_-_4_GB_-_256_GB_SSD_-_AMD_Radeon_Integrated_Graphics_-15.6__HD_-_Win11-_Black","AMD_Ryzen_3-3250U","4_GB","256_GB_SSD","AMD_Radeon_Integrated_Graphics_-15.6__HD"
"Laptop LENOVO Legion 5 16IRX9 83DG004WED-Intel   Core    i7-14650HX-NVIDIA   GeForce RTX    4060 8GB-16GB SO-DIMM DDR5-5600-1TB SSD M.2-16","71999 LE","N/A"," Processor  Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core 2.2 / 5.2GHz, E-core 1.6 / 3.7GHz, 30MB Graphics  NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W Memory  1x 16GB SO-DIMM DDR5-5600 Storage  1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Display  16  WQXGA (2560x1600) IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light Keyboard  4-Zone RGB Backlit, Arabic Operating System  Windows® 11         ","https://www.sigma-computer.com/item?id=6600&name=Laptop_LENOVO_Legion_5_16IRX9_83DG004WED-Intel___Core____i7-14650HX-NVIDIA___GeForce_RTX____4060_8GB-16GB_SO-DIMM_DDR5-5600-1TB_SSD_M.2-16","N/A","N/A","N/A","N/A"
"KLEVV CRAS C910 Lite 1TB M.2 NVMe PCIe Gen4x4 Internal Solid State Drive","3249 LE","N/A"," Description  M.2 NVMe PCIe Gen4x4 Solid State Drive ''Massive Capacity. Maximum Velocity. 'Take advantage of the PCIe Gen4 technology, boasting impressive read/write speeds of up to 5000/4200MB/s. This translates to an enhanced experience for gamers, creatives, and professionals. With its ultra-thin, single-sided SSD architecture, the CRAS C910 Lite is designed for optimal heat management and compatibility with various compact form factor devices such as mini-PCs and laptops. Utilizing meticulously-selected 3D NAND chip for better durability & performance, the CRAS C910 Lite delivers reliable quality with prominent TBW(Terabytes Written) that you get to use at ease.  xTBW: Total terabytes of data the SSD can write in its. The CRAS C910 Lite provides ample storage for all your latest games, ensuring that you never have to sacrifice for storage space. With its exceptionally quick read/write speeds, it significantly reduces load times, enabling you to dive straight into the game without delay. Boost your productivity with the CRAS C910 Lite. Enhance your efficiency as you multitask by switching seamlessly between different professional software. FEATURES  - Intelligent SLC Caching Technology Improves read/write performance and durability with intelligent SLC caching algorithm Advanced Thermal Throttling Algorithm Self-regulated heat management to ensure stable performance, even after prolonged usage S.M.A.R.T. for Condition Monitoring S.M.A.R.T. (Self-Monitoring, Analysis, and Reporting Technology), a fault detection system to improve stability Innovative Technology for Data Protection & Performance Boosting Enhancing your system with End-to-End Data Protection, CRC Parity and SRAM error detection to effectively reduce the risk of data corruption LDPC ECC & Global Wear Leveling Corrects errors, reduces premature wear, and extends the overall lifespan of the SSD Secure AES 256-bit Encryption AES 256-bit encryption provides an advanced level of data protection making it the most secure way to protect your data  ","https://www.sigma-computer.com/item?id=6598&name=KLEVV_CRAS_C910_Lite_1TB_M.2_NVMe_PCIe_Gen4x4_Internal_Solid_State_Drive","N/A","N/A","N/A","N/A"
"KLEVV DDR5 16GB 5600MHz CL46 Laptop Ram","3299 LE"," In Stock  "," About this item  DDR5 Overwhelming Performance Enhanced Bandwidth Efficiency: KLEVV DDR5 SO-DIMM memory module delivers starting speed at 4800MT/s which leads to faster increase of fundamental frequency. It shows 1.87 times better bandwidth efficiency compared to DDR4 memory.  Lower Voltage, Highly Improved Performance Built-in PMIC: While achieving 20% lower power consumption compared to DDR4 memory, DDR5 memory can reduce dynamic voltage and increase power efficiency, enabling for better power distribution.  Improved Work Efficiency Fast Data Transfer: With higher memory bandwidth and even faster speed, DDR5 memory can shorten the response time of multi core processor and optimize the system performance as a whole. Through this, more efficient multitasking can be delivered.  Innovative Power Management Technology Built-in PMIC: The DDR5 has power management transferred from the motherboard to the memory and effective system power loads are managed through PMIC technology.  Decreased Operating Voltage: The DDR5 can exhibit high performance even with a lower operating voltage of 1.1V.  Next Generation Performance DDR5: The data bus channel of existing DDR4 memory module is designed to exchange data in a 64-bit single channel, but DDR5 module allows 32-bit data to be exchanged with dual channels. You can also use only one of the two memory channels to increase memory access efficiency as well as the transfer speed.  Fixing Issue from the Chip Itself Improving Stability through On-Die ECC: On-Die ECC (On-Die Error Correction Code) inside the chip allows single-bit correction. It improves application security by enhancing overall data reliability.          ","https://www.sigma-computer.com/item?id=6587&name=KLEVV_DDR5_16GB_5600MHz_CL46_Laptop_Ram","N/A","N/A","N/A","N/A"
"KLEVV 16GB DDR4 3200MHz SO-DIMM LAPTOP RAM","1599 LE"," In Stock  "," Specification Format   260 Pin DDR4 Small Outline DIMM Speed    3200MHz Capacity   16GB Timing     22-22-22-51 Voltage    1.2V          ","https://www.sigma-computer.com/item?id=6581&name=KLEVV_16GB_DDR4_3200MHz_SO-DIMM_LAPTOP_RAM","N/A","N/A","N/A","N/A"
"KLEVV 8GB DDR4 3200MHz SO-DIMM LAPTOP RAM","799 LE"," In Stock  "," Specification Format   260 Pin DDR4 Small Outline DIMM Speed    3200MHz Capacity   8GB Timing     22-22-22-51 Voltage    1.2V                                  ","https://www.sigma-computer.com/item?id=6580&name=KLEVV_8GB_DDR4_3200MHz_SO-DIMM_LAPTOP_RAM","N/A","N/A","N/A","N/A"
"Laptop Lenovo Legion Pro 5 16IRX8 82WK004GUS-Intel   Core    i7-13700HX-NVIDIA GeForce RTX 4060 8GB-32GB DDR5-4800-1TB SSD M.2-16","75999 LE","N/A"," Processor  Intel® Core™ i7-13700HX, 16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB Graphics  NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W Memory  32GB 2x 16GB SO-DIMM DDR5-4800 Storage  1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Display  16  WQXGA (2560x1600) IPS 300nits Anti-glare, 100% sRGB, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light Operating System  Windows® 11 Keyboard  Zone RGB Backlit, Arabic and English   ","https://www.sigma-computer.com/item?id=6519&name=Laptop_Lenovo_Legion_Pro_5_16IRX8_82WK004GUS-Intel___Core____i7-13700HX-NVIDIA_GeForce_RTX_4060_8GB-32GB_DDR5-4800-1TB_SSD_M.2-16","N/A","N/A","N/A","N/A"
"Laptop Lenovo LOQ 15IRX9 AI Chip LA1 83DV000CAX-Intel   Core    i7-13650HX-NVIDIA GeForce RTX 4060 8GB-16GB DDR5-4800-512GB SSD M.2-15.6","51499 LE"," In Stock  "," ضمـــــــــان سنــــة Processor  Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB Graphics  NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W Memory  16GB SO-DIMM DDR5-4800 Storage  512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display  15.6  FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC® Keyboard  White Backlit, Arabic  ","https://www.sigma-computer.com/item?id=6518&name=Laptop_Lenovo_LOQ_15IRX9_AI_Chip_LA1_83DV000CAX-Intel___Core____i7-13650HX-NVIDIA_GeForce_RTX_4060_8GB-16GB_DDR5-4800-512GB_SSD_M.2-15.6","N/A","N/A","N/A","N/A"
"Laptop Lenovo Legion Pro 5 16IRX8 AI Chip LA1 82WK00NUAX-Intel   Core    i9-13900HX-NVIDIA GeForce RTX 4050 6GB-16GB DDR5-5600-512GB SSD M.2-16WQXGA 2560x1600  IPS  165Hz  300nits  100  sRGB  Dolby Vision    G-SYNC  ","66999 LE","N/A","   Processor: Intel® Core™ i9-13900HX (24 cores, 32 threads, up to 5.4GHz) Graphics: NVIDIA® GeForce RTX™ 4050 6GB GDDR6 140W TGP  Memory: 16GB DDR5-5600 (2x 8GB SO-DIMM, expandable to 32GB) Storage: 512GB M.2 2280 PCIe® 4.0x4 NVMe® SSD  Display  Size: 16  WQXGA (2560x1600) Panel Type: IPS, 300 nits, 100% sRGB, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light  Keyboard  Type: 4-Zone RGB Backlit, Arabic          ","https://www.sigma-computer.com/item?id=6517&name=Laptop_Lenovo_Legion_Pro_5_16IRX8_AI_Chip_LA1_82WK00NUAX-Intel___Core____i9-13900HX-NVIDIA_GeForce_RTX_4050_6GB-16GB_DDR5-5600-512GB_SSD_M.2-16WQXGA_2560x1600__IPS__165Hz__300nits__100__sRGB__Dolby_Vision____G-SYNC__","N/A","N/A","N/A","N/A"
